"Seq,cal","Seq,all",L,L/Hs,a,"a1,mea","a1,mean","a1,cal","a1/Hs,cal","a1,all","a1/Hs,all",a1/AD50,a1/AD90,a1/AD95,"hu,mea","hu,cal",qs,ys,ls,ys/Hs,ls/Hs
0.019571527,0,0.5,4.87501994,0.031,0.031,,,0,0.031,0.302251236,2.186023553,1.368230569,1.368230569,,,0,0.08,0.49,0.78000319,4.777519541
0.028582355,0,0.5,6.544855773,0.031,0.031,,,0,0.031,0.405781058,2.186023553,1.368230569,1.368230569,,,0,0.105,0.51,1.374419712,6.675752888
0.028582355,0,0.5,6.544855773,0.031,0.031,,,0,0.031,0.405781058,2.186023553,1.368230569,1.368230569,,,0,0.053,0.38,0.693754712,4.974090387
0.023606537,0,0.5,5.640185727,0.031,0.031,,,0,0.031,0.349691515,2.186023553,1.368230569,1.368230569,,,0,0.082,0.475,0.924990459,5.358176441
0.023606537,0,0.5,5.640185727,0.031,0.031,,,0,0.031,0.349691515,2.186023553,1.368230569,1.368230569,,,0,0.069,0.425,0.77834563,4.794157868
0.023606537,0,0.5,5.640185727,0.04,0.04,,,0,0.04,0.451214858,2.820675552,1.765458799,1.765458799,,,0,0.095,0.51,1.071635288,5.752989442
0.023606537,0,0.5,5.640185727,0.04,0.04,,,0,0.04,0.451214858,2.820675552,1.765458799,1.765458799,,,0,0.133,0.49,1.500289403,5.527382013
0.029280918,0,0.5,6.66893347,0.04,0.04,,,0,0.04,0.533514678,2.820675552,1.765458799,1.765458799,,,0,0.124,0.51,1.6538955,6.802312139
0.029280918,0,0.5,6.66893347,0.04,0.04,,,0,0.04,0.533514678,2.820675552,1.765458799,1.765458799,,,0,0.121,0.425,1.6138819,5.668593449
0.019876144,0,0.5,4.933933458,0.04,0.04,,,0,0.04,0.394714677,2.820675552,1.765458799,1.765458799,,,0,0.104,0.51,1.026258159,5.032612128
